CSI_2,-117,-80,8,0,-22,17,-20,16,-20,15,-20,17,-19,17,-18,14,-16,11,-16,11,-17,12,-17,12,-14,11,-12,9,-13,11,-12,11,-10,11,-10,13,-12,14,-11,13,-10,10,-9,9,-9,11,-11,13,-11,12,-10,11,-9,11,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-1,10,-2,9,-3,11,-4,12,-5,11,-7,13,-8,16,-8,15,-8,14,-8,16,-9,17,-12,17,-11,16,-11,18,-13,17,-15,14,-15,15,-15,19,-15,20,-16,21,-19,22,-20,19,-19,17,-20,20,-24,22,-25,25,
CSI_2,-126,32,8,0,-27,-10,-26,-12,-25,-12,-24,-10,-24,-9,-24,-11,-22,-9,-21,-7,-19,-9,-18,-9,-18,-5,-17,-5,-18,-4,-19,-3,-19,-3,-17,-3,-15,-2,-13,-3,-14,-3,-14,-2,-14,-3,-15,-5,-14,-7,-15,-7,-14,-3,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-11,0,-13,-1,-14,-2,-13,-2,-13,-1,-16,-2,-18,-3,-17,-3,-18,-2,-19,-4,-18,-7,-16,-7,-17,-4,-19,-4,-22,-5,-24,-7,-24,-10,-27,-9,-25,-7,-21,-10,-22,-12,-26,-12,-28,-12,-29,-10,-28,-9,-28,-8,
CSI_2,28,-64,1,0,11,22,12,23,13,21,13,20,14,19,13,18,13,16,14,16,13,17,13,18,13,17,14,16,15,15,16,16,16,18,16,18,15,17,15,16,14,15,13,15,12,15,11,16,9,17,8,16,8,16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,18,5,18,4,19,4,20,3,20,3,20,3,21,2,20,2,21,1,22,-1,24,-1,24,-1,23,0,22,1,21,2,22,4,22,5,21,6,21,7,21,8,21,8,21,7,22,6,24,6,25,5,26,
CSI_2,-8,-123,95,0,1,12,3,7,2,8,0,10,-2,8,-2,6,-2,6,-5,6,-6,5,-7,5,-5,4,-4,4,-6,5,-7,7,-7,10,-8,6,-6,3,-5,4,-6,3,-8,3,-7,5,-7,3,-8,1,-9,1,-9,-1,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-4,11,-3,12,-3,14,-3,16,-3,14,-4,13,-6,16,-5,18,-4,17,-3,18,-4,17,-3,16,-4,17,-4,18,-2,17,1,14,2,14,2,16,3,15,4,16,2,20,1,20,1,16,1,14,2,14,4,11,
CSI_2,82,32,5,0,1,26,1,25,2,25,2,25,2,25,2,24,3,24,3,23,3,24,3,24,3,23,3,22,2,22,2,22,2,22,1,22,1,21,1,20,0,19,0,18,-1,18,-1,17,-2,16,-2,15,-2,15,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,15,4,15,4,16,3,17,3,17,3,18,3,19,3,20,2,21,1,21,1,22,1,22,1,23,1,23,1,23,1,23,1,24,1,24,1,24,2,24,2,25,2,25,1,26,1,26,2,28,4,29,
CSI_2,82,32,5,0,9,24,10,24,11,22,11,21,10,20,10,20,11,19,11,18,11,18,12,18,13,17,13,17,13,18,13,19,13,20,13,20,12,19,11,18,11,18,10,18,9,18,8,18,8,18,7,17,6,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,17,5,18,5,19,4,20,3,20,3,20,2,20,1,20,1,21,1,22,1,23,1,23,1,23,1,22,1,21,2,22,3,22,4,20,5,20,5,21,5,21,6,21,6,22,7,23,8,24,7,24,
CSI_2,28,-64,1,0,-18,-21,-18,-21,-18,-19,-18,-18,-18,-17,-17,-16,-17,-15,-17,-14,-18,-15,-18,-15,-19,-14,-19,-13,-20,-13,-20,-14,-20,-15,-20,-15,-19,-15,-18,-14,-18,-14,-17,-14,-16,-14,-15,-15,-15,-15,-14,-15,-13,-15,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,-10,-16,-10,-17,-10,-18,-10,-19,-9,-19,-8,-19,-8,-20,-7,-20,-7,-20,-8,-21,-8,-23,-8,-23,-7,-23,-7,-22,-8,-21,-9,-22,-10,-21,-10,-19,-11,-19,-11,-19,-12,-19,-12,-19,-13,-20,-14,-21,-15,-21,-13,-21,
CSI_2,82,32,5,0,-21,-18,-20,-18,-20,-17,-20,-17,-20,-16,-20,-16,-20,-15,-20,-15,-20,-15,-20,-15,-20,-15,-19,-14,-19,-14,-19,-14,-18,-14,-17,-14,-17,-14,-16,-13,-15,-13,-15,-13,-13,-13,-12,-12,-12,-12,-11,-12,-11,-12,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,-14,-9,-14,-10,-15,-10,-15,-11,-15,-12,-16,-12,-17,-13,-17,-13,-17,-14,-17,-15,-17,-16,-17,-17,-17,-17,-17,-17,-18,-17,-18,-17,-19,-17,-19,-17,-19,-17,-19,-17,-20,-17,-21,-17,-20,-18,-20,-19,-22,-19,-24,-19,
CSI_2,82,32,5,0,0,-28,0,-27,0,-27,0,-26,-1,-26,-1,-26,-1,-25,-1,-25,-1,-25,-1,-25,-2,-25,-2,-24,-2,-24,-1,-23,-1,-23,0,-23,0,-22,0,-21,1,-20,1,-20,1,-19,2,-18,2,-17,2,-16,3,-16,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,-3,-16,-3,-17,-2,-18,-2,-18,-2,-19,-2,-20,-1,-20,-1,-22,-1,-22,0,-23,1,-23,1,-24,1,-24,1,-24,1,-24,1,-25,1,-25,1,-26,0,-26,0,-26,0,-26,0,-27,1,-27,1,-28,0,-29,-1,-30,
CSI_2,82,32,5,0,19,17,19,17,19,16,19,16,19,15,19,15,18,15,19,14,19,14,18,14,18,14,17,13,17,14,17,13,16,13,15,13,15,13,14,13,13,13,13,12,12,12,11,12,10,12,9,12,9,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,14,7,14,8,14,8,14,9,15,10,15,10,16,11,17,12,17,13,17,14,17,14,17,15,17,15,17,15,17,15,17,15,18,16,18,16,19,16,19,16,19,15,20,16,19,17,20,18,21,18,23,16,
CSI_2,28,-64,1,0,16,-20,16,-21,14,-21,13,-20,13,-19,12,-19,11,-19,10,-19,11,-20,10,-20,9,-21,8,-21,9,-21,9,-21,10,-22,11,-22,11,-21,10,-20,10,-19,10,-18,11,-18,11,-17,11,-17,11,-16,11,-15,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,13,-13,13,-13,15,-13,16,-13,16,-12,16,-12,17,-11,17,-10,18,-10,19,-11,20,-12,20,-12,20,-11,18,-11,18,-11,18,-12,17,-13,16,-13,16,-14,16,-14,16,-14,16,-15,16,-16,17,-17,17,-18,17,-16,
CSI_2,82,32,5,0,1,-14,1,-13,0,-13,0,-12,0,-12,0,-12,0,-12,0,-12,0,-12,0,-12,-1,-12,-1,-11,-1,-11,0,-11,0,-11,0,-11,0,-10,1,-10,1,-9,1,-9,1,-8,1,-8,1,-8,1,-7,2,-7,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-2,-8,-1,-8,-1,-9,-1,-9,-1,-10,-1,-10,-1,-11,0,-11,0,-11,0,-12,0,-12,0,-12,1,-12,1,-12,1,-12,0,-12,0,-13,0,-13,0,-13,1,-13,0,-13,0,-13,1,-14,1,-14,0,-15,-1,-15,
CSI_2,28,-64,1,0,25,-6,25,-6,24,-7,22,-8,22,-8,21,-8,20,-8,19,-9,20,-9,21,-9,19,-10,19,-11,19,-11,20,-11,21,-11,22,-11,21,-10,20,-10,19,-9,19,-9,19,-8,19,-7,19,-6,18,-5,18,-4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,18,-2,18,-2,19,-1,20,0,20,0,20,1,20,1,20,2,20,2,21,3,22,4,23,4,22,4,21,4,21,3,22,2,22,1,21,0,21,-1,21,-1,21,-2,22,-2,22,-2,24,-2,25,-2,26,-1,
CSI_2,91,-80,5,0,14,5,13,4,10,3,9,2,11,2,13,5,13,7,12,6,10,2,9,2,10,5,10,5,8,4,8,4,7,4,7,4,9,6,10,6,9,6,7,6,6,6,7,5,6,3,4,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,8,-4,8,-4,9,-5,8,-5,9,-2,12,-2,13,0,12,1,12,-2,14,-3,14,-2,12,-1,9,0,9,0,9,0,10,3,13,5,13,4,12,5,13,6,13,5,13,4,15,4,17,4,19,2,21,2,
CSI_2,83,48,5,0,1,16,5,13,4,13,3,13,3,12,2,11,1,11,0,12,-1,10,1,10,0,11,-1,11,1,11,3,12,2,13,1,12,0,12,0,12,-1,11,0,10,2,9,4,9,1,6,-2,4,-2,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,3,7,3,7,5,6,5,7,6,8,6,8,7,8,8,7,6,9,5,10,5,10,5,10,4,10,3,12,2,14,2,14,3,13,5,13,7,12,7,14,4,16,4,17,4,15,6,13,10,15,
CSI_2,28,-64,1,0,-7,-26,-8,-26,-9,-24,-9,-23,-9,-22,-9,-21,-9,-20,-10,-20,-10,-20,-11,-20,-12,-19,-13,-19,-13,-20,-12,-20,-12,-22,-12,-22,-11,-21,-11,-20,-10,-19,-9,-19,-9,-19,-8,-19,-7,-19,-7,-18,-6,-18,-2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,-3,-18,-3,-19,-3,-20,-2,-21,-1,-21,0,-21,0,-21,1,-21,1,-21,1,-22,1,-23,1,-24,1,-24,1,-23,1,-22,0,-23,-1,-23,-2,-22,-2,-22,-2,-22,-3,-22,-4,-22,-4,-22,-5,-24,-5,-25,-4,-25,
CSI_2,28,-64,1,0,12,5,11,4,11,4,11,4,11,4,11,4,11,3,11,3,11,3,11,3,10,3,10,3,10,3,10,3,10,3,9,3,9,3,8,3,8,3,7,3,7,3,6,3,6,3,6,3,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,8,0,8,1,8,1,9,1,9,2,9,2,10,2,10,3,11,3,11,3,11,4,11,4,10,4,10,4,11,3,11,4,12,4,12,4,11,4,11,4,12,4,12,5,13,5,14,4,14,3,
CSI_2,28,-64,1,0,-11,-7,-11,-7,-10,-6,-10,-6,-10,-6,-10,-6,-10,-6,-10,-5,-10,-6,-10,-5,-10,-5,-9,-5,-9,-5,-9,-5,-9,-5,-9,-5,-8,-5,-8,-5,-7,-5,-7,-5,-7,-5,-6,-5,-6,-5,-6,-5,-5,-5,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-8,-3,-8,-3,-8,-3,-9,-3,-9,-4,-9,-4,-10,-4,-10,-5,-10,-5,-10,-6,-11,-6,-11,-6,-11,-6,-10,-6,-10,-6,-11,-6,-11,-6,-11,-7,-11,-7,-11,-6,-11,-6,-11,-7,-11,-7,-12,-8,-13,-7,-14,-6,
CSI_2,28,-64,1,0,19,14,18,13,18,13,18,12,18,11,18,11,18,11,18,10,19,11,18,11,18,10,16,9,16,9,17,9,17,9,16,10,15,10,14,9,13,9,12,9,12,9,11,9,10,9,9,9,8,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,14,5,14,6,14,6,15,7,15,7,16,8,17,9,17,10,18,11,18,12,18,13,18,13,18,14,17,13,17,13,18,13,19,13,19,13,19,13,18,13,19,13,20,13,20,16,20,17,22,15,25,13,
CSI_2,28,-64,1,0,3,-14,3,-13,3,-13,2,-12,2,-12,2,-12,2,-12,2,-12,2,-13,1,-13,1,-12,1,-11,1,-11,1,-11,1,-11,1,-11,2,-10,2,-10,2,-9,2,-9,2,-8,2,-8,2,-8,2,-7,2,-7,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-1,-9,-1,-9,0,-9,0,-10,0,-10,0,-11,1,-11,1,-11,2,-12,2,-12,2,-13,2,-13,2,-13,2,-13,2,-13,2,-13,2,-13,2,-14,2,-13,3,-13,2,-13,2,-14,3,-14,4,-14,3,-15,1,-16,
CSI_2,28,-64,1,0,-12,20,-11,19,-11,19,-11,19,-10,19,-10,19,-10,18,-9,18,-10,19,-10,19,-9,18,-8,17,-8,17,-8,17,-8,17,-9,16,-9,15,-9,14,-9,13,-9,12,-8,11,-8,11,-8,10,-8,9,-8,9,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-4,13,-4,13,-5,14,-5,14,-6,15,-7,16,-8,17,-9,17,-9,18,-10,18,-11,18,-11,19,-11,18,-11,18,-11,18,-11,19,-11,20,-11,20,-11,20,-11,19,-11,19,-12,20,-13,20,-14,21,-12,23,-10,25,
CSI_2,28,-64,1,0,-4,-26,-4,-25,-4,-24,-5,-24,-6,-23,-5,-23,-5,-23,-6,-22,-6,-23,-6,-23,-6,-21,-5,-20,-5,-20,-5,-20,-5,-20,-4,-20,-4,-19,-3,-18,-2,-18,-2,-17,-2,-16,-1,-16,-1,-15,0,-14,0,-14,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-7,-14,-7,-15,-7,-16,-7,-16,-7,-17,-7,-19,-7,-19,-6,-20,-6,-21,-6,-22,-5,-23,-5,-23,-5,-23,-5,-23,-5,-23,-6,-23,-6,-24,-6,-25,-6,-25,-5,-24,-5,-24,-5,-25,-4,-26,-4,-27,-6,-28,-10,-28,
CSI_2,28,-64,1,0,5,-12,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,3,-11,4,-11,3,-11,3,-11,2,-10,3,-10,3,-10,3,-10,4,-10,4,-9,4,-9,4,-8,3,-8,3,-7,3,-7,3,-7,3,-6,4,-6,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-8,1,-8,1,-9,1,-9,2,-9,2,-10,3,-10,3,-10,3,-10,3,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-12,4,-12,4,-12,4,-11,4,-11,4,-12,5,-12,5,-13,5,-14,4,-15,
